cycle,mean_amplitude,load,median_strain,pzt_amplitude_std,pzt_energy_mean,pzt_rms_mean,strain_mean_of_means,strain_std_of_means,rho_micro,D_macro,rho_smooth,D_smooth,RUL,coupon_id
90000,619.9006,4.268,-6.571363357572694e-09,344.88818,68635450.0,159.74657,-9.784132604454642e-09,6.212166729954601e-09,0.6093358,0.0,0.5924616978188643,0.09565750028325808,210000,L3_S13
100000,601.20557,4.264,-1.6073764137988437e-07,299.77338,65939344.0,156.98567,-2.0672993209056923e-07,9.074260823467526e-08,0.6211174,0.0,0.606789774060513,0.04782802032168333,200000,L3_S13
125000,700.64374,4.258,-1.4647777054159412e-07,413.09094,74885440.0,165.90208,-1.8898979209035982e-07,8.248578179232856e-08,0.55845106,0.0,0.5826202308714797,0.023913827710031338,175000,L3_S13
150000,727.91754,4.259,-1.410561266745112e-06,422.78723,77536810.0,164.51662,-1.2719012716727435e-06,8.386244753055372e-07,0.541263,0.0,0.5619415286906602,0.011956868242835084,150000,L3_S13
200000,1029.5094,4.265,-1.4023128400841666e-06,411.3204,124213700.0,206.68973,-1.270782660353213e-06,8.390776191254806e-07,0.35119832,0.0,0.45656972117476824,0.005978422718437644,100000,L3_S13
250000,896.7471,4.266,-1.3269894811708766e-06,320.6045,116428540.0,183.09923,-1.4546923162693102e-06,4.777668532065259e-07,0.43486577,0.0,0.445717736600201,0.002989208508482004,50000,L3_S13
300000,1025.7448,4.255,-1.0200233567786837e-06,395.1006,120437030.0,190.14526,-1.5874618402205885e-08,2.3745912310723224e-06,0.35357082,0.0,0.3996442557810838,0.001494603541557817,0,L3_S13
0,1787.069,0.0,0.001978201445773676,568.76733,768022200.0,563.1187,0.0015186311209196657,0.0008824414764911875,0.0,1.0,0.0,1.0,150000,L3_S11
1,2087.9158,1.502,0.001978201445773676,523.4915,1076546700.0,686.48517,0.0015186311209196657,0.0008824414764911875,0.0,1.0,0.0,1.0,149999,L3_S11
2,1919.1873,0.002,0.0029966795988501348,619.71936,835354240.0,597.8371,0.0022929342412999895,0.0013266956466152341,0.0,0.6601311152959889,0.0,0.8057892087405651,149998,L3_S11
3,1814.6351,0.001,0.004305484367438588,614.9059,715415400.0,547.411,0.0032998417790464024,0.0019133623259249336,0.0,0.4594608357504139,0.0,0.6210807431458178,149997,L3_S11
10,1635.9977,4.245,0.0035100261045846472,604.69147,564820700.0,482.9503,0.0027173009287639084,0.0015763011727536647,0.08453578,0.5635859639875137,0.043631369067776586,0.5914060184189511,149990,L3_S11
100,1575.8322,4.25,0.003649725706535339,592.877,517733500.0,460.7876,0.005160502761469883,0.004955902427552722,0.118202925,0.5420137305747204,0.0815089846414233,0.5663178722123577,149900,L3_S11
1000,1426.4371,4.245,0.014238444509255828,569.712,426775200.0,413.3557,0.017041532711912555,0.014473847916271479,0.20180076,0.13893381713766054,0.14212846380519115,0.3509432302849513,149000,L3_S11
10000,1298.9701,4.249,0.009735171229111004,562.9414,325910600.0,356.3617,0.014792030264024508,0.016410821512513614,0.27312815,0.2032015050601551,0.20788516998291015,0.2767826780152497,140000,L3_S11
20000,1173.9299,4.257,-8.229078570748229e-07,534.35077,248192670.0,310.98108,-8.751680013941197e-07,4.432237240203035e-07,0.34309757,0.0,0.2756236705294794,0.13812051446944945,130000,L3_S11
30000,1134.8615,4.253,-1.0956864593342342e-06,541.955,231632430.0,301.58,-1.6112439719746574e-06,1.279088931218803e-06,0.36495936,0.0,0.3203351784311781,0.06899274965189509,120000,L3_S11
40000,1127.0768,4.249,-8.367843131976483e-07,543.4343,206588160.0,287.83618,-9.376105289560219e-07,3.6377118100386695e-07,0.36931545,0.0,0.3448372758419035,0.03447952266433252,110000,L3_S11
50000,1224.1409,4.259,-7.99257388048589e-07,574.7737,203520960.0,289.5325,-8.925676491869696e-07,3.439717935423577e-07,0.31500077,0.0,0.3299153811183459,0.01723555137823899,100000,L3_S11
60000,1228.9307,4.252,-8.868778637652443e-07,557.77234,204739410.0,292.89694,-9.691552509369701e-07,3.6979773755193565e-07,0.31232053,0.0,0.32111688173089387,0.008616723586117528,90000,L3_S11
70000,1209.4425,4.258,-8.021524793549737e-07,562.53217,184247660.0,277.0881,-8.99208047399954e-07,3.5393737182478404e-07,0.32322562,0.0,0.322171313927257,0.004308098815472665,80000,L3_S11
80000,1228.5286,4.245,-4.751564719738723e-07,674.11487,170800500.0,259.26343,-1.2022305755345326e-06,1.412489670295306e-06,0.31254554,0.0,0.31735827905576497,0.0021539836693590707,70000,L3_S11
90000,1286.9426,4.256,-4.509309314539295e-07,615.52985,174663120.0,265.289,-1.1785039248425963e-06,1.4204848678563264e-06,0.27985847,0.0,0.2986080884042153,0.0010769754008375474,60000,L3_S11
100000,1274.0225,4.249,-1.9791052898504898e-07,529.3351,179028220.0,264.9274,-2.5059660703172965e-07,1.176970642728455e-07,0.28708827,0.0,0.2928481377350463,0.0005384835920523126,50000,L3_S11
150000,1145.2584,4.255,-1.9791052898504898e-07,443.0598,142732180.0,215.48653,-2.5059660703172965e-07,1.176970642728455e-07,0.35914147,0.0,0.32599492981338524,0.0002692407689462952,0,L3_S11
0,1640.7239,0.0,0.0014843185885422751,796.3533,622615550.0,457.85132,0.0011681731496048762,0.0006802506321014222,0.0,1.0,0.0,1.0,207000,L2_S11
1,1677.501,0.509,0.0014843185885422751,757.3884,613863500.0,463.56235,0.0011681731496048762,0.0006802506321014222,0.0,1.0,0.0,1.0,206999,L2_S11
2,1205.9408,0.0,0.0028449330517556362,456.71902,178346750.0,277.92346,0.002163946441307818,0.001249593232547518,0.26499468,0.5217411311757538,0.15142553193228586,0.7267092178147164,206998,L2_S11
3,1233.0349,0.008,0.0012992720987706414,443.29428,180517740.0,281.79843,0.0012152316401614451,0.0010869150156349247,0.24848115,1.0,0.2031885306040446,0.8724643016468677,206997,L2_S11
10,1270.9589,0.0,0.0004156996652810299,438.5304,191757340.0,291.60858,0.0006142889004317257,0.0007000444272055791,0.22536701,1.0,0.21463548752569384,0.9382891782162263,206990,L2_S11
110,1224.8431,4.584,0.0016649353160857526,480.09555,177427540.0,276.10007,0.0014690658629528315,0.0010318860643650678,0.25347394,0.8915172704918617,0.23436295418512254,0.9145320187371839,206890,L2_S11
1000,1162.256,4.571,0.0017863298835379565,489.86905,160968850.0,260.62854,0.001582585700067005,0.0011157532888606094,0.29162002,0.8309319584367441,0.2632169066451666,0.872402854491293,206000,L2_S11
10000,1076.1146,4.583,0.0019766422707811404,501.93628,142247740.0,240.83104,0.004606281400094123,0.005793492607820884,0.34412205,0.7509292958486079,0.3038281169592165,0.8114278917216313,197000,L2_S11
20000,1094.7054,4.582,0.0019122060335763785,568.8956,140945820.0,237.2531,0.009224450127010496,0.013865228670134334,0.33279115,0.776233607926741,0.3183379728500157,0.7937963131472833,187000,L2_S11
30000,1013.4151,4.58,0.0010207407745694346,544.16583,125063544.0,221.55849,0.0011872885815336033,0.0012218508714844205,0.38233662,1.0,0.35036857456755427,0.8969989403893076,177000,L2_S11
40000,1025.1201,4.585,0.0017665472017846986,553.89844,124879050.0,220.95734,0.0058748907439901705,0.008292545703579984,0.37520254,0.8402371513439919,0.3627916215161434,0.8686041812381581,167000,L2_S11
50000,1016.5988,4.574,0.002125042822508171,560.2992,121931260.0,217.49684,0.010938161899961708,0.01664086152915379,0.3803962,0.698488789411945,0.3715960539304293,0.7835257142149386,157000,L2_S11
60000,1006.35376,4.572,0.0010241131502370957,571.1419,119497730.0,213.93385,0.0076691592948514384,0.012277679796943301,0.38664037,1.0,0.3791191302555528,0.8917760712623822,147000,L2_S11
70000,1042.4667,4.576,0.0002095337836914444,591.4194,123467900.0,218.15291,0.004545610764548921,0.0076750270558220415,0.36463004,1.0,0.37187414468226104,0.9458913385649864,137000,L2_S11
80000,1013.13184,4.585,0.014902770519640401,579.7063,119020410.0,213.22884,0.017333693270114154,0.016819035471479112,0.38250923,0.0996001774694234,0.37719185040832187,0.5227328442447953,127000,L2_S11
90000,992.9602,4.588,0.00013326368130672626,585.419,114270536.0,207.59013,0.004984295926800773,0.00857906342018728,0.39480358,1.0,0.3859978513840617,0.7613700634373878,117000,L2_S11
100000,1015.6011,4.584,-6.574693466890945e-05,603.17523,115275840.0,208.16444,0.0047708190709056285,0.008814013465890724,0.38100427,0.0,0.3835010435886236,0.3806821273002358,107000,L2_S11
150000,969.68915,4.584,-7.097688568293378e-05,589.8735,107287390.0,198.45612,0.004749507881178687,0.008836168270166174,0.408987,0.0,0.3962440632467946,0.19034033755381302,57000,L2_S11
200000,976.2762,4.573,-0.00020673777583887329,606.6942,107692030.0,197.0306,-0.00020429583985531662,0.0004992285061942781,0.40497226,0.0,0.4006081675622407,0.09516998725386898,7000,L2_S11
207000,954.1355,4.587,-2.493277328472371e-07,608.18,104200696.0,192.53917,4.766792489029454e-05,0.0003141055842108015,0.41846675,0.0,0.40953746570031185,0.047584948246304944,0,L2_S11
0,1575.4948,0.0,0.0005397273008817619,488.0033,327762300.0,376.62988,0.0005543495285910346,0.0005448651668898124,0.0,1.0,0.0,1.0,227000,L1_S11
1,1321.2178,0.0,0.0022754494176139045,517.7223,251121340.0,322.4615,0.0017294341340976047,0.0009991524422180177,0.16139501,0.23719591246626526,0.1075966755549113,0.49146394164417684,226999,L1_S11
10,1274.8182,3.991,0.002321693536684483,521.1711,235633460.0,309.7792,0.0017505789637124536,0.0010106099539410039,0.19084579,0.23247138020314462,0.15516759668077743,0.3434681922493013,226990,L1_S11
100,1187.0322,3.993,0.0022921005259197162,538.12897,212124880.0,289.13205,0.0017224446716462007,0.0009939868300717386,0.2465654,0.23547278785479697,0.20391309261322021,0.28587064323889894,226900,L1_S11
1000,1055.9259,4.008,0.0022933522310509963,561.97894,178428510.0,257.0485,0.0017482404921874855,0.001010021342903105,0.3297814,0.23534426747626813,0.26887738704681396,0.259792513813025,226000,L1_S11
10000,880.0389,4.013,0.00231136467585385,550.7474,136918450.0,216.28072,0.0017791190999929746,0.0010300984948278151,0.4414206,0.23351023164805407,0.3565183915789165,0.24644278318954768,217000,L1_S11
20000,792.009,4.003,0.0023816699584705376,528.9102,113570504.0,193.71739,0.001803051617730765,0.0010412255215127661,0.49729508,0.22661716790867378,0.42746097553433393,0.23645192194564274,207000,L1_S11
30000,819.12726,0.0,0.0023489373021187655,570.60815,122641176.0,198.99307,0.0017795701709281463,0.0010275444425235348,0.4800825,0.22977509889043116,0.4538749232011683,0.23310041860812478,197000,L1_S11
40000,752.60516,4.013,0.001974740961598034,564.17365,109186550.0,181.54749,0.0015100056209542898,0.0008751426405533748,0.5223055,0.2733154937167022,0.488157163394174,0.25324730555097374,187000,L1_S11
50000,743.384,4.001,0.0023472571150917653,563.8765,105831480.0,178.4353,0.0017781774169914337,0.0010264415233551315,0.5281584,0.22993957390162664,0.5081773457988616,0.24158204787309914,177000,L1_S11
60000,739.9891,4.007,0.0022999777512822694,566.2672,105138056.0,177.58229,0.001754132181060685,0.0010140187161934116,0.5303132,0.2346663138723218,0.5192506766983166,0.23812249163626673,167000,L1_S11
70000,740.826,4.007,0.002353817320430064,568.9305,104635860.0,177.2427,0.0017944318940905089,0.0010366416504557908,0.529782,0.22929872093181336,0.5245176228265914,0.23370952890055965,157000,L1_S11
80000,726.6453,4.016,0.002279342776892227,567.93634,101034910.0,173.20973,0.0017443733238220697,0.0010083426143456355,0.5387828,0.23679075668366734,0.5316510698964433,0.23525033087829242,147000,L1_S11
90000,733.35223,4.017,0.0022711731034777568,584.6016,100753310.0,172.31738,0.0017388841545823571,0.001005122062527743,0.53452575,0.23764252053500415,0.5330884987156972,0.2364464987149391,137000,L1_S11
100000,747.8025,4.014,0.0022767275540339508,578.69214,105795130.0,178.01208,0.001752618873967452,0.001015249295269345,0.5253539,0.23706275260096996,0.5292210856031759,0.23675463506152955,127000,L1_S11
125000,774.08234,4.005,0.0022300225646372197,581.50854,112765944.0,185.13823,0.0017190604541871537,0.0009952354324357152,0.5086735,0.24202773076852915,0.5189471305803657,0.23939122314617078,102000,L1_S11
150000,751.67755,4.008,0.002191508637924575,585.84784,107478504.0,178.09851,0.0017031243537012413,0.00098818858417333,0.52289426,0.24628116519444795,0.5209207119811725,0.24283622045355296,77000,L1_S11
175000,795.9176,4.003,0.002191508637924575,581.0235,127960520.0,193.34787,0.0017031243537012413,0.00098818858417333,0.49481416,0.24628116519444795,0.5078673849390762,0.24455869939473615,52000,L1_S11
177000,1006.3537,0.001,0.0021881008889898315,689.05634,176801660.0,238.78784,0.008437330063074488,0.012119687694232514,0.36124593,0.24666472354980618,0.4345565177375832,0.24561171348073615,50000,L1_S11
177309,1009.52155,-0.001,0.0021881008889898315,621.6775,180179840.0,249.33789,0.008437330063074488,0.012119687694232514,0.35923523,0.24666472354980618,0.396895836506768,0.24613821901738597,49691,L1_S11
227000,861.4772,4.004,0.0021180790503373455,651.2639,138901680.0,203.77534,0.00896727554732499,0.013114075307825745,0.45320213,0.2548192433119056,0.4250489958830262,0.25047873323436426,0,L1_S11
0,1537.1377,0.0,-1.553123686638456e-07,454.47208,310952500.0,377.0873,-1.7562481139028892e-07,1.7815187244711024e-07,0.0,1.0,0.0,1.0,125000,L1_S19
1,1394.2037,0.0,-1.553123686638456e-07,460.15283,259360180.0,339.00818,-1.7562481139028892e-07,1.7815187244711024e-07,0.09298706,1.0,0.061991373697916664,1.0,124999,L1_S19
2,1312.407,0.001,-2.4761855238194286e-07,465.97705,232862690.0,319.6892,-2.8571339047927617e-07,2.9074830159175036e-07,0.14620078,0.6272242817423541,0.11011103221348353,0.7869853038527738,124998,L1_S19
10,1198.3729,4.001,-2.4761855238194286e-07,476.50842,201286980.0,292.0953,-2.8571339047927617e-07,2.9074830159175036e-07,0.22038674,0.6272242817423541,0.1689247449239095,0.7017794253938834,124990,L1_S19
100,1069.3864,4.002,-2.4761855238194286e-07,467.7931,168359760.0,262.77493,-2.8571339047927617e-07,2.9074830159175036e-07,0.30430025,0.6272242817423541,0.23879597263951455,0.6632993512511586,124900,L1_S19
1000,983.8267,4.002,-2.4761855238194286e-07,481.73734,153079600.0,244.92342,-2.8571339047927617e-07,2.9074830159175036e-07,0.35996187,0.6272242817423541,0.30034055407085114,0.6449755064212896,124000,L1_S19
10000,870.1558,4.012,-2.4761855238194286e-07,493.10352,124868270.0,215.16553,-2.8571339047927617e-07,2.9074830159175036e-07,0.43391162,0.6272242817423541,0.3676519581652063,0.6360300073704875,115000,L1_S19
20000,783.8408,4.009,-2.4761855238194286e-07,496.58865,105255360.0,191.49307,-2.8571339047927617e-07,2.9074830159175036e-07,0.49006468,0.6272242817423541,0.42909834431666954,0.6316098784277381,105000,L1_S19
30000,731.97797,4.01,-2.4761855238194286e-07,549.9131,88103340.0,167.45905,-2.8571339047927617e-07,2.9074830159175036e-07,0.52380455,0.6272242817423541,0.4765441123753378,0.6294127888945517,95000,L1_S19
40000,707.28705,4.012,-2.4761855238194286e-07,578.3948,86627600.0,162.05698,-2.8571339047927617e-07,2.9074830159175036e-07,0.53986746,0.6272242817423541,0.508236736379644,0.6283174656668633,85000,L1_S19
50000,698.5431,4.009,-2.4761855238194286e-07,545.2501,81681640.0,159.66788,-2.8571339047927617e-07,2.9074830159175036e-07,0.54555595,0.6272242817423541,0.5269054583822976,0.6277706066836208,75000,L1_S19
75000,663.0843,4.001,-2.4761855238194286e-07,586.9902,75349576.0,145.25392,-2.8571339047927617e-07,2.9074830159175036e-07,0.568624,0.6272242817423541,0.5477698328439715,0.6274973775066454,50000,L1_S19
100000,676.4245,4.001,-2.4761855238194286e-07,638.5736,80362264.0,146.0018,-2.8571339047927617e-07,2.9074830159175036e-07,0.5599454,0.6272242817423541,0.5538583619154179,0.6273608129540221,25000,L1_S19
125000,815.3678,4.005,-2.4761855238194286e-07,760.3629,111509230.0,168.91795,-2.8571339047927617e-07,2.9074830159175036e-07,0.46955448,0.6272242817423541,0.511703849995754,0.627292543181332,0,L1_S19
0,1519.0409,0.0,0.001143453180458864,342.94168,280250940.0,363.70038,0.0008746111364656368,0.0005057833078904341,0.0,1.0,0.0,1.0,100000,L1_S12
1,1560.7255,0.501,0.00026480199769784193,394.5011,294742560.0,370.56287,0.0003741013712954284,0.0004868601055436339,0.0,1.0,0.0,1.0,99999,L1_S12
2,1355.1241,-0.001,0.0012541811144151903,452.26837,232707700.0,321.77203,0.0011334478303250547,0.0009037099466280237,0.10790807,0.9117129633960743,0.061661754335675924,0.9495502647977567,99998,L1_S12
3,1125.161,0.0,0.0022847272540047654,417.2722,177495200.0,277.08737,0.0017608253429798864,0.0010195165618090843,0.2592951,0.5004768855689761,0.16706620852152507,0.710044462542407,99997,L1_S12
10,1082.0144,4.003,0.00028859125078818475,406.42886,166538140.0,267.29135,0.00041099874150648093,0.000529667421555331,0.28769898,1.0,0.22932828626325052,0.8596989334882614,99990,L1_S12
100,1023.2486,4.011,0.001260241793326039,395.11447,150916260.0,252.60132,0.00106009611447207,0.000749650497581132,0.32638508,0.9073284083374622,0.27862697555905297,0.8838916826180142,99900,L1_S12
1000,863.90283,4.014,0.001373609095835219,376.58554,115422110.0,216.47499,0.0011327817528725438,0.0007937910776781142,0.431284,0.832444386052635,0.3555565049329142,0.85796548592365,99000,L1_S12
10000,740.84894,4.018,0.00013775241544815506,396.96838,91231200.0,186.72382,0.00019452946240337826,0.0002451787471873714,0.51229167,1.0,0.4342314112420176,0.9292612420090335,90000,L1_S12
20000,776.846,4.005,0.002527731692600001,428.89728,101613420.0,195.84492,0.0019937760041321005,0.0011625439731961337,0.4885944,0.4523633516193006,0.46146610478365724,0.6903456648274843,80000,L1_S12
30000,689.03217,4.013,0.001450841448607141,389.70444,80683520.0,171.43181,0.0012955541960670983,0.0009095266165500423,0.54640317,0.7881310404776617,0.5039761509247422,0.7392861460913073,70000,L1_S12
40000,613.4065,4.012,0.0014252477231257413,379.75125,64453356.0,149.55266,0.0012573909059782496,0.000910979113508378,0.5961883,0.802283814880358,0.5501047525978927,0.7708003682896405,60000,L1_S12
50000,603.7691,4.01,0.0014303724374984427,381.4636,61908012.0,145.99387,0.0012543369207614343,0.0008620252138685502,0.6025327,0.7994094058877648,0.5763251201573746,0.7851083802556865,50000,L1_S12
60000,587.7021,4.006,0.001435823206369505,364.26025,59758748.0,144.39726,0.0012887834379505382,0.0009134075036783182,0.61310977,0.7963746339983585,0.5947196892279726,0.7907421948485304,40000,L1_S12
70000,589.91815,4.008,0.0014457589453999785,364.08435,59421652.0,143.62405,0.001285431254564699,0.0008990783039613871,0.61165094,0.7909016811530226,0.6031858332244597,0.7908219428682093,30000,L1_S12
80000,603.11456,4.006,0.0013870636244700868,404.51355,62640100.0,146.07898,0.0012186142341687571,0.0008603708922833894,0.60296357,0.8243696686197134,0.6030746966106547,0.8075963176572544,20000,L1_S12
90000,627.30927,4.004,0.0001636260882578555,408.23526,67807360.0,154.19339,0.00025700210221532517,0.00030629180261637027,0.58703595,1.0,0.5950552029368479,0.9037996267746281,10000,L1_S12
100000,595.5227,4.01,0.0002359332328427783,368.42065,63388356.0,150.04497,0.0004212146752080167,0.0005246634015869258,0.6079614,1.0,0.6015083588243496,0.9519001803654146,0,L1_S12
